car,model,price,body,mileage,engV,engType,PurchaseYear,drive,PurchaseMonth
Mercedes-Benz,Vito ïàññ.,12500,van,238,2.2,Diesel,2008,rear,Nov
Volkswagen,T5 (Transporter) ïàññ.,9500,van,212,1.9,Diesel,2006,front,Dec
Chevrolet,Aveo,5800,sedan,120,1.5,Petrol,2007,front,Jan
Volkswagen,T5 (Transporter) ïàññ.,10500,van,246,2.5,Diesel,2006,front,Feb
Volkswagen,Golf VI,18200,hatch,23,1.4,Petrol,2013,front,Mar
Cadillac,Escalade,47000,crossover,23,6.2,Petrol,2008,full,Apr
Mercedes-Benz,S 550,38700,sedan,117,5.5,Petrol,2010,full,May
Volkswagen,T5 (Transporter) ãðóç,13700,other,103,2,Diesel,2013,front,Jun
Chevrolet,Cruze,9200,sedan,62,1.8,Petrol,2013,front,Jul
Audi,A4 Allroad,22500,vagon,175,2,Gas,2010,full,Aug
Mitsubishi,Lancer,6800,sedan,170,1.6,Petrol,2004,front,Sep
Renault,Scenic,6250,van,205,1.6,Petrol,2007,front,Oct
Land Rover,Range Rover,162000,crossover,21,4.4,Diesel,2015,full,Nov
Mercedes-Benz,E-Class,24800,vagon,118,3,Diesel,2010,full,Dec
Volkswagen,T5 (Transporter) ãðóç,8800,van,260,2.5,Diesel,2008,front,Jan
Nissan,X-Trail,9200,crossover,126,2.04,Other,2005,full,Feb
Volkswagen,Polo,9950,hatch,95,1.4,Petrol,2010,front,Mar
Renault,Megane,6800,sedan,152,1.6,Petrol,2007,front,Apr
BMW,530,16999,vagon,213,3,Diesel,2007,full,May
Audi,S8,22500,sedan,159,5.2,Petrol,2008,full,Jun
BMW,525,11900,sedan,160,2.5,Petrol,2005,rear,Jul
ZAZ,110557,4580,other,82,1.2,Petrol,2008,front,Aug
Hyundai,Accent,10000,sedan,19,1.4,Petrol,2011,front,Sep
Peugeot,Partner ãðóç.,4800,van,170,1.9,Diesel,2011,front,Oct
Acura,RL,15000,sedan,150,3.5,Gas,2008,full,Nov
Mercedes-Benz,Vito ãðóç.,12800,other,116,2.2,Diesel,2013,rear,Dec
Kia,Carnival,10500,van,172,2.9,Diesel,2008,front,Jan
Volkswagen,T5 (Transporter) ïàññ.,17000,van,157,2,Diesel,2010,full,Feb
Volkswagen,Passat CC,27000,sedan,85,2,Diesel,2013,front,Mar
Honda,Accord,12300,other,140,2.4,Petrol,2008,front,Apr
Ford,Transit ãðóç.,10500,other,184,2.2,Diesel,2013,front,May
Ford,Transit ãðóç.,10400,other,194,2.2,Diesel,2013,front,Jun
Volkswagen,Passat CC,24000,sedan,67,1.8,Petrol,2012,front,Jul
Volkswagen,Golf V,9800,hatch,98,1.6,Gas,2010,front,Aug
Mercedes-Benz,E-Class,14500,sedan,138,2,Petrol,2007,rear,Sep
Mercedes-Benz,Vito ïàññ.,12800,van,116,2.2,Diesel,2012,rear,Oct
VAZ,2109,1900,hatch,40,1.5,Petrol,1990,front,Nov
Daewoo,Lanos,3350,sedan,175,1.4,Petrol,2008,front,Dec
Toyota,Camry,10200,sedan,180,2.4,Petrol,2003,front,Jan
Land Rover,Range Rover Evoque,42000,crossover,60,2,Petrol,2012,full,Feb
Volkswagen,Golf V,9000,hatch,95,1.6,Gas,2005,front,Mar
Volkswagen,Passat B6,11500,sedan,169,1.8,Petrol,2008,front,Apr
BMW,X3,6800,crossover,242,99.99,Diesel,2005,full,May
Mercedes-Benz,Vito ïàññ.,9500,van,248,2.2,Diesel,2005,rear,Jun
Mercedes-Benz,ML 350,32800,crossover,109,3,Diesel,2011,full,Jul
Volkswagen,Caddy ïàññ.,9750,van,159,1.9,Diesel,2009,front,Aug
Volkswagen,Passat B6,10250,sedan,144,2,Diesel,2008,front,Sep
Nissan,X-Trail,12450,crossover,169,2,Petrol,2008,full,Oct
Renault,Scenic,2500,sedan,170,1.9,Diesel,2003,front,Nov
Audi,Q7,22000,crossover,152,4.2,Petrol,2007,full,Dec
Seat,Leon,10199,hatch,98,1.6,Petrol,2009,front,Jan
Mercedes-Benz,Vito ïàññ.,8000,other,230,2.2,Diesel,2001,front,Feb
Mercedes-Benz,E-Class,4800,sedan,199,3.2,Diesel,1999,front,Mar
Ford,Fiesta,5400,hatch,82,1.25,Petrol,2007,front,Apr
Volkswagen,Passat B5,5500,vagon,160,1.9,Diesel,2003,front,May
Hyundai,Terracan,3950,crossover,220,2.9,Diesel,2002,full,Jun
Chevrolet,Aveo,4950,sedan,127,1.5,Petrol,2008,front,Jul
Mercedes-Benz,CLS 350,54500,sedan,29,3,Diesel,2012,rear,Aug
Porsche,Panamera,112000,sedan,14,4.8,Other,2013,full,Sep
Volkswagen,Multivan,49999,van,59,2,Diesel,2014,full,Oct
Hyundai,Accent,6300,sedan,1,1.4,Petrol,2008,front,Nov
BMW,X5,13500,crossover,250,3,Diesel,2006,full,Dec
Lexus,RX 350,17500,crossover,150,3.5,Gas,2007,full,Jan
Mercedes-Benz,E-Class,13900,sedan,216,2.2,Diesel,2007,rear,Feb
BMW,525,3200,sedan,237,2.5,Petrol,1990,rear,Mar
Toyota,Rav 4,13500,crossover,131,2.4,Gas,2006,full,Apr
Volkswagen,Passat CC,23000,sedan,80,2,Other,2011,front,May
Toyota,Corolla,8650,sedan,132,1.6,Petrol,2008,front,Jun
Hyundai,Santa FE,21900,crossover,71,2.2,Diesel,2012,full,Jul
Skoda,Octavia A7,21300,sedan,2,1.4,Petrol,2016,front,Aug
Mercedes-Benz,Vito ïàññ.,7300,van,245,2.2,Diesel,2002,front,Sep
Opel,Astra J,10350,vagon,95,1.4,Petrol,2012,front,Oct
Toyota,Camry,13999,sedan,198,2.4,Gas,2009,front,Nov
Mitsubishi,Lancer X,9800,sedan,56,1.5,Petrol,2011,front,Dec
Skoda,Octavia Tour,7200,hatch,172,1.6,Petrol,2006,front,Jan
Volkswagen,Touareg,17800,sedan,180,3,Diesel,2007,full,Feb
Kia,Cerato,7900,sedan,140,1.6,Diesel,2008,front,Mar
Toyota,Auris,8900,hatch,140,1.6,Petrol,2008,front,Apr
Daewoo,Sens,4600,sedan,57,1.3,Gas,2011,front,May
Volkswagen,T5 (Transporter) ãðóç,13499,van,154,2,Diesel,2013,front,Jun
Mercedes-Benz,Vito ïàññ.,6950,other,190,2.2,Diesel,1999,front,Jul
Mercedes-Benz,E-Class,10250,sedan,261,1.8,Petrol,2003,rear,Aug
Kia,Sorento,11400,crossover,114,2.5,Diesel,2008,full,Sep
SsangYong,Rexton II,16700,crossover,39,2.7,Diesel,2013,full,Oct
BMW,X6,29900,crossover,182,3,Petrol,2008,full,Nov
Toyota,Camry,13500,sedan,144,3.5,Gas,2007,front,Dec
Hyundai,Accent,5400,sedan,102,1.5,Diesel,2008,front,Jan
Renault,Kangoo ãðóç.,2300,van,200,1.9,Diesel,2002,front,Feb
SsangYong,Rodius,12300,van,107,2.7,Diesel,2008,full,Mar
Mitsubishi,Outlander XL,13900,vagon,93,3,Gas,2007,full,Apr
Kia,Sorento,11800,crossover,52,2.5,Diesel,2008,full,May
Skoda,Octavia A5,11900,other,120,1.74,Petrol,2010,front,Jun
Mazda,6,25800,sedan,9,2,Petrol,2016,front,Jul
Mazda,6,5850,sedan,270,2,Petrol,2003,front,Aug
Mercedes-Benz,E-Class,5500,sedan,199,2.57,Petrol,2000,front,Sep
Volkswagen,T6 (Transporter) ãðóç,13900,crossover,156,2,Diesel,2012,front,Oct
Mercedes-Benz,GL 350,82555,crossover,69,3,Diesel,2014,full,Nov
Kia,Rio,11764.116,hatch,1,1.4,Petrol,2015,front,Dec
Ford,Mondeo,12500,sedan,99,1.6,Petrol,2012,front,Jan
BMW,745,8999,sedan,221,4.5,Petrol,2002,rear,Feb
Toyota,Land Cruiser Prado,23499,crossover,174,4,Gas,2008,full,Mar
Peugeot,3008,13300,crossover,58,1.6,Other,2013,front,Apr
Mercedes-Benz,C-Class,24950,other,60,1.8,Petrol,2013,rear,May
Mercedes-Benz,C-Class,28950,sedan,40,1.8,Petrol,2014,rear,Jun
BMW,745,9400,sedan,221,4.4,Gas,2004,rear,Jul
Lexus,RX 400,13800,crossover,156,4,Other,2006,full,Aug
Audi,A6,14200,vagon,200,2.7,Diesel,2006,front,Sep
Volkswagen,T5 (Transporter) ïàññ.,10000,van,224,2.5,Diesel,2006,front,Oct
Toyota,Camry,11999,sedan,147,2.4,Petrol,2010,front,Nov
Chevrolet,Cruze,10500,sedan,67,1.8,Petrol,2011,front,Dec
Renault,Trafic ïàññ.,9600,van,175,2,Diesel,2007,front,Jan
Mazda,6,12900,sedan,65,2,Gas,2009,front,Feb
Skoda,Octavia A5,11950,hatch,117,1.6,Gas,2012,front,Mar
BMW,X6,51900,crossover,106,3,Diesel,2012,full,Apr
Volkswagen,Passat B6,9555,sedan,174,2,Petrol,2007,front,May
Audi,A6,31500,sedan,140,2,Diesel,2012,front,Jun
Honda,Accord,12399,sedan,90,2.4,Petrol,2008,front,Jul
Mazda,6 MPS,10500,sedan,121,2.3,Petrol,2008,full,Aug
Skoda,Octavia A5,14600,sedan,58,1.8,Petrol,2012,front,Sep
Mercedes-Benz,C-Class,17300,sedan,107,1.8,Petrol,2008,rear,Oct
Mazda,3,10800,hatch,93,1.6,Gas,2011,front,Nov
Volkswagen,Touareg,22600,crossover,187,3,Diesel,2008,full,Dec
Kia,Sportage,11700,crossover,95,2,Gas,2010,full,Jan
Skoda,Octavia Tour,8600,hatch,240,2,Petrol,2003,front,Feb
Kia,Cerato,6300,sedan,164,1.6,Petrol,2007,front,Mar
Toyota,Rav 4,28350,crossover,92,2.2,Diesel,2013,full,Apr
Lexus,IS 250,21500,sedan,100,2.5,Petrol,2008,full,May
Mercedes-Benz,E-Class,4500,sedan,409,2.6,Petrol,1991,rear,Jun
Volkswagen,Passat B5,2200,sedan,272,1.9,Diesel,1998,front,Jul
Mercedes-Benz,Vito ïàññ.,9500,other,220,2.2,Diesel,2005,rear,Aug
Hyundai,Santa FE,14900,crossover,172,2.2,Diesel,2007,full,Sep
BMW,528,6500,sedan,300,2.8,Gas,1997,rear,Oct
Honda,Civic,3200,sedan,330,1.4,Petrol,1998,front,Nov
Nissan,X-Trail,16800,crossover,150,2,Petrol,2012,full,Dec
BMW,523,18000,sedan,245,2.5,Petrol,2007,rear,Jan
VAZ,2108,1550,hatch,12,1.3,Gas,1986,front,Feb
Renault,Grand Scenic,13600,vagon,164,1.5,Diesel,2013,front,Mar
Subaru,Tribeca,12000,crossover,150,3,Petrol,2006,full,Apr
ZAZ,1103 Ñëàâóòà,2100,sedan,88,1.2,Gas,2007,front,May
Audi,A8,12600,sedan,294,3,Gas,2004,front,Jun
Renault,Megane,5900,hatch,171,1.5,Other,2005,front,Jul
Volkswagen,Touareg,17900,crossover,167,3,Diesel,2007,full,Aug
Mitsubishi,Outlander,8300,crossover,161,2,Petrol,2005,full,Sep
VAZ,2106,900,sedan,100,1.5,Gas,1986,rear,Oct
Mercedes-Benz,C-Class,18500,other,90,1.8,Petrol,2008,rear,Nov
VAZ,2105,1250,sedan,150,99.99,Gas,1987,rear,Dec
Mercedes-Benz,Vito ãðóç.,12950,other,199,2.2,Diesel,2012,rear,Jan
Mercedes-Benz,Vito ïàññ.,12700,other,199,2.2,Diesel,2011,rear,Feb
Mercedes-Benz,E-Class,5200,sedan,432,3,Diesel,1992,rear,Mar
Skoda,Octavia A5,11500,vagon,85,1.4,Petrol,2011,front,Apr
Mazda,6,22300,sedan,29,2,Petrol,2015,front,May
Mercedes-Benz,E-Class,8600,sedan,240,3.2,Diesel,2001,rear,Jun
Mercedes-Benz,Vito ïàññ.,8500,van,281,2.2,Diesel,2004,rear,Jul
Mercedes-Benz,E-Class,9175,sedan,245,2.2,Diesel,2002,rear,Aug
Audi,A6,3150,vagon,310,2.5,Diesel,1999,front,Sep
Honda,Civic,8600,sedan,117,1.8,Petrol,2008,front,Oct
Volkswagen,Jetta,16999,sedan,80,1.6,Petrol,2016,front,Nov
Hyundai,Accent,9999,sedan,42,1.4,Petrol,2011,front,Dec
Volkswagen,Golf VI,16200,hatch,44,1.4,Petrol,2012,front,Jan
Toyota,Rav 4,13699,crossover,160,2,Petrol,2007,full,Feb
Renault,Grand Scenic,11200,van,157,1.5,Diesel,2012,front,Mar
Volkswagen,Golf III,3950,hatch,280,1.79,Gas,1996,front,Apr
Volkswagen,Touareg,71138,crossover,136.5,3,Diesel,2016,full,May
Renault,Kangoo ãðóç.,7440,other,148,1.5,Diesel,2012,front,Jun
Daewoo,Lanos,3000,sedan,178,1.4,Petrol,2007,front,Jul
Volkswagen,Touareg,66346,crossover,136.5,3,Diesel,2016,full,Aug
Skoda,Octavia A5,8000,sedan,250,1.6,Petrol,2007,front,Sep
Mercedes-Benz,G 63 AMG,219900,crossover,30,6.3,Petrol,2013,full,Oct
Peugeot,206,5390,sedan,83,1.4,Petrol,2009,front,Nov
Volkswagen,Passat B5,2350,sedan,11,1.9,Other,2000,front,Dec
Volkswagen,Passat B5,8700,vagon,250,1.9,Diesel,2002,full,Jan
Skoda,Octavia Tour,3000,other,163,1.73,Other,2008,front,Feb
Mercedes-Benz,E-Class,23800,sedan,195,2.2,Diesel,2010,rear,Mar
Mercedes-Benz,S 550,24900,sedan,140,5.5,Petrol,2009,full,Apr
Renault,Trafic ãðóç.,8900,van,150,2,Diesel,2009,front,May
Volkswagen,Sharan,5999,van,300,1.8,Gas,1999,front,Jun
Nissan,Qashqai,14700,crossover,65,2,Petrol,2011,front,Jul
Mitsubishi,Lancer X,9300,sedan,95,2,Petrol,2007,front,Aug
Mercedes-Benz,ML 63 AMG,40000,other,119,6.3,Petrol,2008,full,Sep
Volkswagen,Touareg,19200,crossover,155,2.5,Diesel,2008,full,Oct
Renault,Trafic ïàññ.,9500,van,275,2,Diesel,2008,front,Nov
Mercedes-Benz,Vito ïàññ.,7700,van,300,2.2,Other,2004,rear,Dec
Volkswagen,Touareg,42500,crossover,63,3,Diesel,2014,full,Jan
Aston Martin,DB9,65000,other,37,6,Petrol,2006,rear,Feb
Mercedes-Benz,E-Class,9500,vagon,180,3.2,Diesel,2002,rear,Mar
Mercedes-Benz,GLS 500,64999.5,crossover,180,4.6,Petrol,2016,full,Apr
Mercedes-Benz,190,3900,sedan,375,2,Petrol,1990,rear,May
Toyota,Hilux,43999,other,1,2.8,Diesel,2016,full,Jun
Mazda,CX-7,12000,crossover,148,2.3,Gas,2008,full,Jul
Lexus,GS 300,14500,sedan,160,3,Petrol,2006,rear,Aug
Skoda,Octavia A5,14500,sedan,130,1.9,Diesel,2013,front,Sep
Toyota,Avensis,9300,sedan,170,1.8,Gas,2006,front,Oct
Volkswagen,Touareg,34000,crossover,92,3,Diesel,2012,full,Nov
Kia,Sportage,8800,crossover,102,2,Diesel,2008,full,Dec
VAZ,2101,1600,sedan,70,1.2,Petrol,1986,rear,Jan
Mitsubishi,Galant,2800,sedan,150,2,Gas,1996,front,Feb
Land Rover,Range Rover Sport,78900,crossover,55,3,Diesel,2014,full,Mar
BMW,X5,62000,crossover,1,2,Diesel,2016,full,Apr
BMW,540,8200,sedan,250,4.4,Petrol,1997,rear,May
BMW,523,2900,sedan,225,2.5,Petrol,1997,rear,Jun
Renault,11,1800,hatch,1,1.4,Gas,1988,front,Jul
Volkswagen,Touareg,19500,crossover,112,2.5,Diesel,2008,full,Aug
Renault,Kangoo ãðóç.,3600,van,22,1.9,Diesel,2001,front,Sep
Renault,Kangoo ïàññ.,9999,van,185,1.5,Diesel,2008,front,Oct
Opel,Vectra A,2999,sedan,310,1.6,Petrol,1995,front,Nov
Porsche,Cayenne,13222,crossover,110,4.5,Gas,2005,full,Dec
Lexus,ES 350,18900,sedan,80,3.5,Petrol,2007,front,Jan
Mitsubishi,Outlander,8200,crossover,210,2.4,Gas,2007,full,Feb
Toyota,Auris,12900,hatch,37,1.4,Petrol,2013,front,Mar
BMW,730,2800,sedan,296,3,Diesel,2001,rear,Apr
Land Rover,Range Rover Sport,36500,crossover,99,5,Petrol,2011,full,May
Ford,Sierra,2000,hatch,100,2,Petrol,1988,rear,Jun
Mercedes-Benz,Vito ïàññ.,7200,van,285,2.2,Diesel,2001,front,Jul
Mercedes-Benz,E-Class,9300,sedan,342,2.6,Petrol,2003,rear,Aug
Audi,Q7,14900,crossover,183,3.6,Petrol,2007,full,Sep
Mercedes-Benz,B 200,13600,hatch,147,2,Diesel,2008,rear,Oct
BMW,M5,26900,sedan,158,5,Petrol,2007,rear,Nov
Volkswagen,Touareg,20300,crossover,139,3,Diesel,2008,full,Dec
Mercedes-Benz,230,2700,sedan,337,2.3,Gas,1988,rear,Jan
Volkswagen,Touareg,20800,crossover,151,3,Diesel,2008,full,Feb
Volkswagen,Jetta,24900,sedan,1,1.6,Diesel,2016,front,Mar
Lexus,GS 300,15400,sedan,127,3,Petrol,2006,full,Apr
Volkswagen,Touareg,21900,crossover,136,3,Diesel,2008,full,May
BMW,5 Series,8900,sedan,256,2.2,Petrol,2002,rear,Jun
BMW,525,4999,sedan,256,2.5,Diesel,2001,rear,Jul
Volkswagen,Passat B5,8800,other,217,1.9,Diesel,2005,front,Aug
Mercedes-Benz,E-Class,6900,sedan,350,3,Diesel,1994,rear,Sep
Hyundai,Accent,7000,sedan,100,1.6,Petrol,2008,front,Oct
Lexus,RX 400,22700,crossover,68,4,Other,2008,full,Nov
Mercedes-Benz,Vito ãðóç.,4900,van,262,2.3,Diesel,1998,rear,Dec
Mercedes-Benz,E-Class,25500,sedan,137,2.2,Diesel,2012,rear,Jan
Mercedes-Benz,Vito ãðóç.,13600,van,172,2.2,Diesel,2013,rear,Feb
Ford,Transit ïàññ.,8000,vagon,230,2.2,Diesel,2006,front,Mar
Honda,Civic,9750,sedan,84,1.3,Petrol,2008,front,Apr
ZAZ,110557,1850,van,145,1.2,Gas,2007,front,May
BMW,520,16700,sedan,150,2,Diesel,2008,rear,Jun
Toyota,Avensis,8888,sedan,172,1.8,Gas,2005,front,Jul
Mercedes-Benz,S 550,24500,sedan,23,5.5,Petrol,2011,full,Aug
Toyota,Camry,14900,sedan,106,2.4,Petrol,2008,front,Sep
Daewoo,Lanos,3700,sedan,135,1.49,Gas,2004,front,Oct
Kia,Sportage,17800,sedan,114,1.7,Diesel,2013,front,Nov
Mercedes-Benz,C-Class,4000,sedan,300,1.8,Petrol,1996,rear,Dec
SsangYong,Rexton II,17900,crossover,67,2.7,Diesel,2012,full,Jan
Suzuki,Grand Vitara,15000,crossover,130,2.7,Petrol,2007,full,Feb
Ford,Fiesta,9200,hatch,108,1.4,Diesel,2012,front,Mar
BMW,M5,81000,sedan,23,4.4,Petrol,2014,rear,Apr
Mercedes-Benz,E-Class,17300,sedan,184,1.8,Gas,2008,rear,May
Lexus,LX 570,75500,crossover,50,4.6,Petrol,2015,full,Jun
Chevrolet,Lacetti,6400,hatch,90,1.6,Petrol,2008,front,Jul
Volkswagen,Passat B7,17500,sedan,76,1.8,Petrol,2012,front,Aug
Hyundai,Matrix,6000,van,130,1.6,Petrol,2007,front,Sep
Renault,Kangoo ãðóç.,8550,van,160,1.5,Diesel,2014,front,Oct
Mazda,3,7999,sedan,122,1.66,Gas,2007,front,Nov
Skoda,Superb,7800,sedan,155,1.8,Gas,2005,front,Dec
Mercedes-Benz,SLK 200,15000,other,82,1.8,Petrol,2004,rear,Jan
Honda,Civic,9800,sedan,158,1.34,Other,2008,front,Feb
Opel,Omega,4476,sedan,290,2,Gas,1998,rear,Mar
Volkswagen,Passat B5,8500,vagon,200,1.9,Diesel,2003,front,Apr
Mercedes-Benz,Vito ãðóç.,12800,van,193,2.2,Other,2011,rear,May
Opel,Vivaro ãðóç.,9700,van,160,2,Diesel,2012,front,Jun
Hyundai,Sonata,8600,sedan,189,3.3,Petrol,2006,front,Jul
Ford,Focus,4950,sedan,146,2,Petrol,2001,front,Aug
Skoda,Octavia A5,12400,sedan,110,1.8,Petrol,2012,front,Sep
Opel,Astra F,2900,hatch,260,1.4,Petrol,1992,front,Oct
Peugeot,107,9300,hatch,49,1,Petrol,2014,front,Nov
Daewoo,Lanos,3900,sedan,220,1.5,Petrol,2004,front,Dec
Mitsubishi,Lancer X,8000,sedan,67,1.5,Petrol,2009,front,Jan
Mitsubishi,Lancer X,6300,sedan,116,1.5,Petrol,2008,front,Feb
Mercedes-Benz,C-Class,7800,hatch,125,2.3,Petrol,2001,rear,Mar
Peugeot,Partner ïàññ.,9700,vagon,148,1.6,Other,2008,front,Apr
ZAZ,Lanos,4500,sedan,74,1.6,Gas,2010,front,May
Opel,Vectra C,3400,vagon,164,1.9,Diesel,2005,front,Jun
Toyota,Camry,15300,other,116,2.4,Petrol,2009,front,Jul
Renault,Trafic ïàññ.,9150,van,220,2,Diesel,2007,front,Aug
Mercedes-Benz,Vito ãðóç.,12900,van,185,2.2,Diesel,2011,rear,Sep
Subaru,Legacy,4100,vagon,209,2.2,Petrol,1996,full,Oct
Toyota,Camry,13800,other,160,3.5,Gas,2006,front,Nov
BMW,X6,9500,crossover,110,3,Diesel,2008,full,Dec
Fiat,Linea,8800,sedan,112,1.3,Diesel,2014,front,Jan
Renault,Sandero,6700,hatch,96,1.4,Petrol,2010,front,Feb
Renault,Kangoo ãðóç.,6300,van,149,1.5,Other,2011,front,Mar
Mercedes-Benz,E-Class,13800,sedan,222,3,Gas,2007,full,Apr
Citroen,DS4,21900,hatch,41,2,Diesel,2013,front,May
Renault,Trafic ãðóç.,10100,van,153,2,Diesel,2012,front,Jun
Toyota,Land Cruiser Prado,24000,crossover,152,4,Gas,2006,full,Jul
Hyundai,Accent,6700,sedan,95,1.6,Petrol,2008,front,Aug
Opel,Vivaro ãðóç.,9700,other,141,2,Diesel,2011,front,Sep
Mercedes-Benz,Vito ïàññ.,13995,van,126,2.2,Diesel,2013,rear,Oct
Volkswagen,Jetta,8200,sedan,180,1.65,Petrol,2007,front,Nov
Volkswagen,Lupo,2200,hatch,118,1.4,Petrol,2001,front,Dec
Opel,Vivaro ïàññ.,7800,van,212,1.9,Diesel,2002,front,Jan
Mercedes-Benz,C-Class,10200,sedan,154,2.5,Petrol,2006,rear,Feb
Hyundai,i30,10500,hatch,50,1.4,Petrol,2011,front,Mar
BMW,745,13000,sedan,304,4.4,Other,2002,rear,Apr
Toyota,Camry,7900,sedan,170,3,Petrol,2004,front,May
Mitsubishi,Outlander,10200,crossover,99,2,Gas,2008,full,Jun
Renault,Kangoo ïàññ.,5650,van,140,1.4,Petrol,2009,front,Jul
Volkswagen,T4 (Transporter) ïàññ.,9200,van,268,2.5,Diesel,2003,full,Aug
Volkswagen,Passat B6,12900,sedan,136,1.6,Diesel,2010,front,Sep
Lexus,RX 350,43000,crossover,33,3.5,Petrol,2013,full,Oct
Mercedes-Benz,E-Class,15900,vagon,219,3,Diesel,2007,rear,Nov
Mercedes-Benz,Vito ãðóç.,18000,van,147,2.2,Diesel,2013,rear,Dec
Renault,Kangoo ãðóç.,7600,other,125,1.5,Diesel,2013,front,Jan
Mercedes-Benz,E-Class,3500,sedan,250,2.7,Diesel,2001,rear,Feb
Tesla,Model S,89000,sedan,1,0.6,Other,2016,rear,Mar
Tesla,Model S,99000,sedan,15,0.7,Other,2015,full,Apr
Tesla,Model X,185000,crossover,1,0.85,Other,2016,full,May
Tesla,Model S,56000,sedan,9,0.6,Other,2014,rear,Jun
Tesla,Model S,59000,sedan,20,1,Other,2013,rear,Jul
Tesla,Model S,60500,sedan,5,0.6,Other,2015,rear,Aug
Daewoo,Lanos,3500,sedan,173,1.5,Petrol,2006,front,Sep
SsangYong,Rexton II,13800,crossover,135,2.7,Diesel,2010,full,Oct
Volkswagen,T5 (Transporter) ïàññ.,12999,van,237,2.5,Diesel,2005,front,Nov
Toyota,Rav 4,21000,crossover,74,2,Petrol,2011,full,Dec
Mercedes-Benz,E-Class,19700,sedan,220,2.2,Diesel,2009,rear,Jan
Mercedes-Benz,E-Class,15000,sedan,67,2.8,Other,1995,rear,Feb
Toyota,Highlander,21999,crossover,69,3.5,Petrol,2008,full,Mar
Mercedes-Benz,C-Class,16800,sedan,125,1.8,Petrol,2008,rear,Apr
Land Rover,Range Rover Sport,53500,crossover,69,3,Diesel,2012,full,May
SsangYong,Rexton II,11500,crossover,165,2.7,Diesel,2008,full,Jun
Lexus,RX 350,32500,crossover,79,3.5,Petrol,2011,full,Jul
Ford,Mondeo,28999,sedan,2,2.5,Petrol,2015,front,Aug
Mercedes-Benz,Vito ïàññ.,14100,van,138,2.2,Diesel,2009,rear,Sep
Volkswagen,Golf VI,11900,vagon,132,1.4,Petrol,2011,front,Oct
Skoda,Octavia A5,13400,sedan,76,1.8,Petrol,2013,front,Nov
BMW,730,13999,sedan,265,3,Diesel,2005,rear,Dec
Honda,Accord,16700,sedan,71,2,Petrol,2011,front,Jan
Mercedes-Benz,Vito ãðóç.,11500,van,200,2.2,Diesel,2010,rear,Feb
Opel,Astra G,5900,sedan,158,1.6,Petrol,2004,front,Mar
Toyota,Corolla,9500,other,90,1.6,Other,2008,front,Apr
Skoda,Octavia Tour,8200,sedan,224,1.8,Petrol,2009,front,May
BMW,320,8990,other,300,2.2,Petrol,2002,rear,Jun
BMW,525,2500,sedan,44,2.5,Diesel,1997,rear,Jul
Skoda,Octavia Tour,8500,hatch,144,1.73,Other,2006,front,Aug
Mitsubishi,Lancer,5500,sedan,165,1.6,Petrol,2006,front,Sep
Geely,MK Cross,6700,crossover,18,1.5,Gas,2014,full,Oct
Subaru,Tribeca,13800,crossover,165,3.6,Petrol,2008,full,Nov
Daewoo,Lanos,1900,sedan,159,1.5,Gas,2004,front,Dec
Mercedes-Benz,E-Class,2700,sedan,400,2.9,Diesel,1997,rear,Jan
Mercedes-Benz,Vito ïàññ.,5500,other,220,2.2,Diesel,2002,front,Feb
Volkswagen,Caddy ãðóç.,10000,van,160,1.6,Diesel,2012,front,Mar
BMW,525,3300,sedan,360,2.5,Petrol,1992,rear,Apr
Volkswagen,Passat B6,13300,sedan,133,1.8,Petrol,2008,front,May
Jaguar,XF,30900,sedan,55,2,Petrol,2013,rear,Jun
BMW,525,5700,sedan,252,2.5,Diesel,1997,rear,Jul
Mercedes-Benz,G 500,46500,crossover,127,5,Petrol,2008,full,Aug
Audi,Q7,55000,crossover,100,6,Diesel,2009,full,Sep
Skoda,Fabia,7450,vagon,150,1.4,Petrol,2010,front,Oct
Daewoo,Lanos,2800,sedan,133,1.5,Gas,2000,front,Nov
Mercedes-Benz,C-Class,11900,sedan,167,1.8,Petrol,2005,rear,Dec
Toyota,Camry,12450,sedan,162,3.5,Gas,2007,front,Jan
Opel,Omega,2100,vagon,250,2.5,Diesel,2001,rear,Feb
Skoda,Octavia Tour,5400,sedan,203,1.6,Gas,2003,front,Mar
Mitsubishi,Lancer X,6999,sedan,113,1.5,Petrol,2007,front,Apr
VAZ,2110,4000,sedan,130,1.6,Petrol,2005,front,May
Land Rover,Range Rover Sport,36700,crossover,87,5,Petrol,2010,full,Jun
Land Rover,Range Rover,41500,crossover,95,5,Petrol,2010,full,Jul
Subaru,Impreza,6700,sedan,137,1.6,Petrol,2005,full,Aug
Skoda,Octavia Tour,8000,sedan,166,1.9,Diesel,2007,front,Sep
Volkswagen,Touareg,14500,crossover,173,2.5,Diesel,2005,full,Oct
Peugeot,Boxer ãðóç.,12500,other,225,2.2,Diesel,2011,front,Nov
Opel,Vivaro ïàññ.,12200,van,145,2,Diesel,2013,front,Dec
Mitsubishi,Pajero Wagon,15200,crossover,193,3,Gas,2008,full,Jan
Volkswagen,Passat B6,9300,vagon,150,2,Petrol,2008,front,Feb
Mercedes-Benz,S-Guard,147500,sedan,29,6,Petrol,2011,rear,Mar
Land Rover,Range Rover Evoque,38500,other,56,2,Petrol,2013,full,Apr
